time,X_value,Y_value,Z_value
0,0.146,0.6595,0.544
0.0605,0.3278,0.9584,0.2302
0.1203,0.3736,1.3353,-0.4453
0.18,0.4634,1.7814,-1.4949
0.2408,0.8759,2.3747,-2.4158
0.3004,1.4224,2.8528,-3.323
0.3603,0.987,3.299,-3.965
0.4202,-0.0922,4.4355,-7.7879
0.4808,-3.2772,3.443,-13.4468
0.5439,0.03,8.724,-16.8893
0.6005,-5.4841,39.8638,-35.026
0.6604,19.1189,8.3662,4.6046
0.7202,-11.3719,0.7402,8.5123
0.7802,3.2197,4.6898,5.9993
0.8405,-2.4331,3.1543,3.1224
0.9,0.1113,2.0884,3.0898
0.9601,-1.0168,1.4075,2.7604
1.0201,0.2819,1.0941,1.9762
1.0804,0.6038,0.7686,1.2638
1.14,0.9432,0.5354,0.5329
1.2,0.5629,-0.0774,0.139
