Score ,ID,Phase,Person,Strike
660,76,post,A,1
624,61,post,A,1
612,65,post,B,1
570,77,post,A,1
570,60,post,B,1
546,62,post,A,1
540,68,post,B,1
516,64,post,A,1
516,66,post,B,1
492,69,post,C,1
486,63,post,B,1
480,55,post,C,1
480,67,post,D,1
450,80,post,C,0
450,54,post,E,0
432,70,post,C,0
390,78,post,D,0
372,58,post,E,0
366,79,post,C,0
348,71,post,D,0
330,51,post,D,0
330,53,post,D,0
318,57,post,E,0
312,52,post,E,0
312,56,post,E,0
300,72,post,F,0
270,59,post,F,0
258,75,post,F,0
246,73,post,F,0
210,74,post,F,0
